species,verbatim_name
Messor pergandei,Veromessor pergandei
Photinus californica,Ellychnia californica
Reticulitermes hesperus,Reticulotermes hesperus
Toxomerus marginatus,toxomerus marginatus
Bassia scoparia,Kochia scoparia
Oloptum miliaceum,Achnatherum miliaceum
Chenopodium album,Chenpodium album
Baileya multiradiata,Baileya multradiata
Chrysothamnus viscidiflorus,Chrysothamnus viscidiflorus 
Laetiporus gilbertsonii,Laetiporus gilbertsonii 
Eremophila alpestris,Eremophila alpetris
Thamnophis elegans,Thamnopsis elegans
Colinus virginianus,Colinus virginanus
Dipodomys spectabilis,Dipodomy spectabilis
Falco sparverius,Falco sparveirus
Baeacris punctulata,Dichroplus punctulatus
Chen rossii,Anser rossii
Grus canadensis,Antigone canadensis
Cervus elaphus,Cervus canadensis
Archosargus probatocephalus,Archosargus probaatocephalus
Chilomycterus schoepfii,Chilomycterus schoepfi
Phalacrocorax auritus,Nannopterum auritum
Nyctanassa violacea,Nycticorax violaceus
Puffinus griseus,Ardenna grisea
Zalophus californianus,zalophus californianus
Chen canagica,Anser canagicus
Phoebastria immutabilis,Diomedea imuutabilis
Haematopus bachmani,Haemoatopus bachmani
Hexagrammos lagocephalus,Hexagrammus lagocephalus
Lagopus muta,Lagopus mutus
Rissa tridactyla,Rissa tridactla
Pomatomus saltatrix,Pomatomus salatrix
Catostomus commersonii,Catostomus commersonnii
Anas discors,Spatula discors
Ophiodon elongatus,Ophiodon elongates
Gadus chalcogrammus,Theragra chalcogramma
Anas clypeata,Spatula clypeata
Phalacrocorax pelagicus,Urile pelagicus
Platichthys stellatus,Inopsetta ischyra
Chen caerulescens,Anser caerulescens
Actinemys marmorata,Clemmys marmorata
Patagioenas fasciata,Columba fasciata
Hysterocarpus traskii,Hysterocarpus traski
Anas americana,Mareca americana
Tamias merriami,tamias merriami
Catostomus clarkii,Catostomus clarki
Coluber constrictor,Columber constrictor
Pecari tajacu,Dicotyles tajacu
Circus cyaneus,Circus hudsonius
Aplodontia rufa,Aplodontia rufo
Leucophaeus pipixcan,Larus pipixcan
Prosopium cylindraceum,Prosopium cylindrecem
Dorosoma cepedianum,Dorosoma cepdianum
Gallinula chloropus,Gallinula galeata
Ammodramus leconteii,Ammodramus lecontii
Tringa semipalmata,Cataptrophorus semipalmatus
