listed_species,prey_diet_binomial,prey_diet_binomial_updates,order_listed,class_listed,family_listed,order_prey,class_prey,family_prey
Rana draytonii,Armadillidium vulgare,Armadillidium vulgare,Anura,Amphibia,Ranidae,Isopoda,Malacostraca,Armadillidiidae
Rana draytonii,Lumbricus terrestris,Lumbricus terrestris,Anura,Amphibia,Ranidae,Crassiclitellata,Clitellata,Lumbricidae
Rana draytonii,Musca domestica,Musca domestica,Anura,Amphibia,Ranidae,Diptera,Insecta,Muscidae
Rana draytonii,Potamopyrgus antipodarum,Potamopyrgus antipodarum,Anura,Amphibia,Ranidae,Littorinimorpha,Gastropoda,Tateidae
Rana draytonii,Aphrophora permutata,Aphrophora permutata,Anura,Amphibia,Ranidae,Hemiptera,Insecta,Aphrophoridae
Rana draytonii,Aquarius remigis,Aquarius remigis,Anura,Amphibia,Ranidae,Hemiptera,Insecta,Gerridae
Rana draytonii,Ceuthophilus californianus,Ceuthophilus californianus,Anura,Amphibia,Ranidae,Orthoptera,Insecta,Rhaphidophoridae
Rana draytonii,Cicindela willistoni,Cicindela willistoni,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Carabidae
Rana draytonii,Diplazon laetatorius,Diplazon laetatorius,Anura,Amphibia,Ranidae,Hymenoptera,Insecta,Ichneumonidae
Rana draytonii,Hebata filamenta,Hebata filamenta,Anura,Amphibia,Ranidae,Hemiptera,Insecta,Cicadellidae
Rana draytonii,Helminthoglypta tudiculata,Helminthoglypta tudiculata,Anura,Amphibia,Ranidae,Stylommatophora,Gastropoda,Xanthonychidae
Rana draytonii,Hippodamia convergens,Hippodamia convergens,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Coccinellidae
Rana draytonii,Holorusia hespera,Holorusia hespera,Anura,Amphibia,Ranidae,Diptera,Insecta,Tipulidae
Rana draytonii,Notonecta kirbyi,Notonecta kirbyi,Anura,Amphibia,Ranidae,Hemiptera,Insecta,Notonectidae
Rana draytonii,Pseudacris regilla,Pseudacris regilla,Anura,Amphibia,Ranidae,Anura,Amphibia,Hylidae
Rana draytonii,Rana draytonii,Rana draytonii,Anura,Amphibia,Ranidae,Anura,Amphibia,Ranidae
Rana draytonii,Rana draytonii,Rana draytonii,Anura,Amphibia,Ranidae,Anura,Amphibia,Ranidae
Rana draytonii,Taricha torosa,Taricha torosa,Anura,Amphibia,Ranidae,Caudata,Amphibia,Salamandridae
Rana draytonii,Vanessa cardui,Vanessa cardui,Anura,Amphibia,Ranidae,Lepidoptera,Insecta,Nymphalidae
Rana draytonii,Veromessor pergandei,Messor pergandei,Anura,Amphibia,Ranidae,Hymenoptera,Insecta,Formicidae
Rana draytonii,Anaxyrus boreas,Anaxyrus boreas,Anura,Amphibia,Ranidae,Anura,Amphibia,Bufonidae
Rana draytonii,Microtus californicus,Microtus californicus,Anura,Amphibia,Ranidae,Rodentia,Mammalia,Cricetidae
Rana draytonii,Peromyscus californicus,Peromyscus californicus,Anura,Amphibia,Ranidae,Rodentia,Mammalia,Cricetidae
Rana draytonii,Pseudacris regilla,Pseudacris regilla,Anura,Amphibia,Ranidae,Anura,Amphibia,Hylidae
Rana draytonii,Reithrodontomys megalotis,Reithrodontomys megalotis,Anura,Amphibia,Ranidae,Rodentia,Mammalia,Cricetidae
Rana draytonii,Thamnophis sirtalis,Thamnophis sirtalis,Anura,Amphibia,Ranidae,Squamata,Squamata,Colubridae
Rana draytonii,Acheta domesticus,Acheta domesticus,Anura,Amphibia,Ranidae,Orthoptera,Insecta,Gryllidae
Rana draytonii,Acheta domesticus,Acheta domesticus,Anura,Amphibia,Ranidae,Orthoptera,Insecta,Gryllidae
Rana draytonii,Aphis nerii,Aphis nerii,Anura,Amphibia,Ranidae,Hemiptera,Insecta,Aphididae
Rana draytonii,Apis mellifera,Apis mellifera,Anura,Amphibia,Ranidae,Hymenoptera,Insecta,Apidae
Rana draytonii,Armadillidium vulgare,Armadillidium vulgare,Anura,Amphibia,Ranidae,Isopoda,Malacostraca,Armadillidiidae
Rana draytonii,Conoderus exsul,Conoderus exsul,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Elateridae
Rana draytonii,Cornu aspersum,Cornu aspersum,Anura,Amphibia,Ranidae,Stylommatophora,Gastropoda,Helicidae
Rana draytonii,Cornu aspersum,Cornu aspersum,Anura,Amphibia,Ranidae,Stylommatophora,Gastropoda,Helicidae
Rana draytonii,Oniscus asellus,Oniscus asellus,Anura,Amphibia,Ranidae,Isopoda,Malacostraca,Oniscidae
Rana draytonii,Abedus indentatus,Abedus indentatus,Anura,Amphibia,Ranidae,Hemiptera,Insecta,Belostomatidae
Rana draytonii,Agonum punctiforme,Agonum punctiforme,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Carabidae
Rana draytonii,Anisodactylus californicus,Anisodactylus californicus,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Carabidae
Rana draytonii,Aquarius remigis,Aquarius remigis,Anura,Amphibia,Ranidae,Hemiptera,Insecta,Gerridae
Rana draytonii,Arctosa littoralis,Arctosa littoralis,Anura,Amphibia,Ranidae,Araneae,Arachnida,Lycosidae
Rana draytonii,Arctosa littoralis,Arctosa littoralis,Anura,Amphibia,Ranidae,Araneae,Arachnida,Lycosidae
Rana draytonii,Arhopalus asperatus,Arhopalus asperatus,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Cerambycidae
Rana draytonii,Canthon simplex,Canthon simplex,Anura,Amphibia,Ranidae,Coleoptera,Insecta,Scarabaeidae
